qt_civilian_card,qt_military_cards,qt_commercial_cards,qt_raw_materials,qt_manufactured_good,qt_scientific_cards,qt_guild_cards,wonder_id,wonder_stage,qt_clay,qt_coins,qt_compass,qt_gear,qt_glass,qt_loom,qt_ore,qt_papyrus,qt_shields,qt_stone,qt_tablet,qt_wood,civilian_points,commercial_points,guild_points,military_points,scientific_points,total_points,wonder_points,winner,total_reward
0,0,2,1,2,0,0,8,0,2,46,0,0,1,0,0,1,0,0,0,0,0,15,0,0,0,15,0,False,40
0,2,1,2,1,1,0,6,0,1,25,0,0,0,2,0,0,5,0,0,2,0,8,0,15,1,24,0,False,57
1,0,1,2,1,1,1,5,2,2,29,0,0,1,1,1,0,0,0,0,0,7,9,2,-4,1,18,3,False,57
1,0,0,3,1,0,0,9,1,1,43,0,0,0,0,2,1,0,0,0,1,4,14,0,0,0,18,0,False,49
0,0,0,1,0,0,0,9,2,0,49,0,0,0,0,0,0,0,2,0,1,0,16,0,-1,0,20,5,False,47
1,1,0,3,2,2,0,9,1,1,48,0,0,1,1,2,0,2,0,0,2,3,16,0,8,2,29,0,True,64
1,1,0,3,2,0,0,0,1,0,50,0,0,0,1,0,1,2,3,0,0,4,16,0,7,0,30,3,False,69
1,0,0,3,1,1,1,0,0,1,35,0,0,0,1,0,0,0,1,0,1,8,11,1,-3,1,18,0,False,56
0,0,0,1,0,0,1,7,1,0,40,0,0,0,0,0,0,0,2,0,0,0,13,0,0,0,16,3,False,41
0,1,0,0,1,0,0,1,0,1,51,0,0,1,0,0,0,1,0,0,0,0,17,0,18,0,35,0,True,58
1,1,1,4,0,1,0,11,2,1,44,0,0,0,0,1,1,2,0,0,0,6,14,0,7,1,33,5,False,80
0,2,0,1,0,1,0,4,3,0,31,0,0,0,0,1,1,3,0,0,0,0,10,0,18,1,39,10,True,73
2,0,3,1,1,0,1,0,1,0,45,0,0,0,0,1,1,0,1,0,0,8,18,4,0,0,33,3,True,62
2,1,0,2,1,1,2,11,3,0,9,0,0,1,0,0,1,2,0,0,0,14,3,1,5,4,37,10,False,94
0,0,1,1,1,1,0,5,1,0,44,0,0,1,1,1,0,0,0,0,0,0,15,0,-6,1,13,3,False,39
1,1,2,1,0,0,0,6,0,0,43,0,0,0,1,0,0,3,0,0,0,2,14,0,2,0,18,0,False,50
1,0,2,2,0,0,1,8,0,1,31,0,0,0,0,0,0,0,1,0,1,5,12,3,-1,0,19,0,False,46
2,0,3,2,0,2,0,12,2,0,28,0,0,1,0,0,0,0,0,0,1,13,14,0,-2,4,29,0,False,78
0,0,0,4,0,0,0,8,0,3,55,0,0,0,0,1,0,0,3,0,0,0,18,0,-3,0,15,0,False,43
2,0,1,1,2,0,1,11,3,0,29,0,0,1,1,0,1,0,0,0,0,5,9,3,-3,0,24,10,False,68
0,0,2,2,1,2,1,12,3,2,22,0,0,1,0,0,1,0,0,0,1,0,7,1,-2,2,15,7,False,54
0,0,1,2,0,0,0,3,1,0,48,0,0,0,0,4,0,0,0,0,0,0,16,0,-4,0,15,3,False,43
0,1,2,1,0,2,0,2,3,0,34,0,0,0,0,1,0,1,0,0,1,0,11,0,-1,4,24,10,False,65
2,0,3,0,2,1,0,7,1,0,22,0,0,1,1,0,0,0,1,0,0,9,11,0,-1,1,23,3,False,62
1,1,0,2,3,2,0,3,1,0,38,0,0,1,1,2,1,3,0,0,1,2,12,0,3,4,24,3,False,55
1,1,1,0,1,2,0,8,2,1,25,0,0,0,1,0,0,3,0,0,0,3,8,0,8,4,26,3,False,60
2,1,2,1,0,1,0,8,2,1,19,0,0,0,0,0,0,1,0,0,0,6,8,0,8,1,26,3,False,63
1,2,0,0,1,1,0,4,1,0,33,0,0,1,0,0,1,3,0,0,0,4,11,0,17,1,36,3,True,71
0,2,0,2,0,0,0,7,2,0,32,0,0,0,0,0,0,4,1,0,1,0,10,0,16,0,34,8,True,69
2,0,0,3,1,2,0,2,1,0,38,0,0,1,0,2,0,0,0,0,2,12,12,0,-4,2,25,3,False,71
0,0,2,2,1,2,0,8,2,1,43,0,0,0,0,0,1,0,0,0,3,0,14,0,-3,2,16,3,False,53
1,0,0,1,1,0,0,3,0,0,55,0,0,1,0,3,0,0,0,0,0,2,18,0,-1,0,19,0,False,43
0,1,1,2,0,1,1,6,1,0,27,0,0,0,1,0,0,2,0,0,3,0,11,4,10,1,29,3,True,63
1,1,0,2,0,0,0,7,2,1,29,0,0,0,0,1,0,1,1,0,0,6,9,0,8,0,31,8,False,66
2,0,1,1,0,0,0,1,1,3,45,0,0,0,0,0,0,0,0,0,0,8,15,0,-3,0,23,3,False,50
1,1,0,2,2,3,0,7,1,3,38,0,0,1,0,0,1,3,1,0,0,4,12,0,-3,5,21,3,False,58
0,0,1,1,0,0,0,5,1,0,46,0,0,1,0,0,0,0,0,0,1,0,15,0,0,0,18,3,False,44
1,2,2,1,0,2,1,11,1,0,14,0,0,0,0,0,1,2,0,0,0,6,7,2,4,2,23,2,False,60
2,0,1,2,1,0,0,1,1,1,48,0,0,0,1,2,0,0,0,0,1,5,16,0,-4,0,20,3,False,55
0,0,0,0,0,0,0,8,0,1,57,0,0,0,0,0,0,0,0,0,0,0,19,0,-3,0,16,0,False,36
0,0,2,0,0,2,0,5,0,0,43,0,0,1,0,0,0,0,0,0,0,0,14,0,-3,2,13,0,False,34
0,0,0,0,2,0,0,6,1,0,42,0,0,0,2,0,1,0,0,0,0,0,14,0,-3,0,14,3,False,38
1,0,0,3,2,1,0,9,2,2,40,0,0,0,1,1,1,0,0,0,1,6,13,0,-5,1,20,5,False,60
1,0,0,4,0,1,0,10,2,2,42,0,0,0,0,1,0,2,3,0,0,5,14,0,10,1,37,7,True,70
0,0,0,1,1,0,1,6,3,0,36,0,0,0,2,0,0,0,0,0,0,0,12,2,-2,0,22,10,False,54
1,2,1,2,0,3,1,2,1,0,7,0,0,0,0,1,0,4,0,0,1,7,2,3,16,5,36,3,True,79
1,0,1,3,0,4,1,6,2,0,6,0,0,0,1,1,0,0,3,0,0,3,2,5,-2,16,27,3,False,62
1,0,0,1,1,0,0,1,2,1,37,0,0,0,1,0,0,0,0,0,2,2,12,0,-3,1,15,3,False,49
1,1,1,2,2,3,0,13,1,1,29,0,0,1,2,0,0,2,0,0,0,6,9,0,4,5,26,2,False,70
0,0,0,4,0,2,0,4,1,1,51,0,0,0,0,1,1,0,2,0,0,0,17,0,0,2,22,3,False,54
1,1,1,2,0,2,0,2,1,1,36,0,0,0,0,0,0,1,0,0,1,2,12,0,7,2,26,3,False,62
0,2,1,2,1,2,1,13,3,0,7,0,0,0,2,1,0,4,0,0,0,0,2,3,9,2,19,3,False,64
2,0,1,2,2,2,1,6,1,0,9,0,0,1,1,0,1,0,0,0,1,13,3,3,-2,2,22,3,False,62
0,0,0,2,1,0,0,6,0,0,58,0,0,1,1,1,0,0,0,0,1,0,19,0,-5,0,14,0,False,40
0,0,0,3,0,0,0,8,0,4,48,0,0,0,0,0,0,0,0,0,2,0,16,0,-1,0,15,0,False,40
0,0,1,2,1,0,0,11,1,1,55,0,0,0,1,0,1,0,0,0,0,0,18,0,-6,0,14,2,False,48
1,0,0,1,0,2,1,12,3,1,21,0,0,1,0,0,0,0,0,0,0,8,7,3,-5,2,22,7,False,61
0,0,1,2,2,0,0,0,1,0,41,0,0,1,1,1,0,0,2,0,0,0,14,0,0,0,17,3,False,43
1,1,1,1,1,3,0,1,2,1,21,0,0,0,0,0,1,3,0,0,0,6,7,0,-2,10,24,3,False,64
3,1,1,3,0,0,0,8,0,4,27,0,0,0,0,0,0,1,2,0,0,14,9,0,8,0,31,0,False,72
1,1,1,4,1,0,0,12,3,1,27,0,0,1,1,0,0,3,2,0,1,5,10,0,4,0,26,7,True,77
1,1,0,2,0,0,0,13,0,1,39,0,0,0,1,1,0,1,0,0,0,6,13,0,-2,0,17,0,False,50
1,0,2,3,0,2,0,11,0,0,30,0,0,0,0,1,1,0,0,0,2,5,13,0,-6,2,14,0,False,43
2,1,3,2,0,1,0,8,1,1,32,0,0,0,0,0,0,1,0,0,0,9,10,0,-1,1,22,3,False,65
0,1,0,3,0,0,0,12,2,1,54,0,0,1,0,1,0,2,0,0,0,0,18,0,5,0,23,0,False,60
0,1,2,1,0,2,1,3,2,1,24,0,0,0,0,1,0,4,0,0,0,0,8,0,16,9,36,3,True,75
2,2,2,1,1,0,0,3,2,0,33,0,0,0,1,1,0,5,1,0,0,7,11,0,18,0,39,3,True,81
2,0,3,6,0,2,0,11,2,3,45,0,0,0,0,0,1,0,1,0,3,13,18,0,-4,4,36,5,False,85
2,0,1,3,0,2,0,7,0,1,36,0,0,0,0,1,0,0,1,0,0,10,12,0,-3,2,21,0,False,56
1,1,2,2,1,0,0,13,1,0,50,0,0,0,1,1,1,3,0,0,1,6,18,0,3,0,29,2,False,73
0,1,0,3,0,2,0,2,1,1,37,0,0,0,0,1,0,2,0,0,1,0,12,0,9,4,28,3,False,61
0,1,0,2,0,2,0,3,0,0,49,0,0,0,0,3,0,1,0,0,1,0,16,0,18,4,38,0,True,64
0,0,0,0,1,1,1,6,0,0,42,0,0,0,2,0,0,0,0,0,0,0,14,0,-1,4,17,0,False,38
0,0,1,3,2,1,1,11,1,0,43,0,0,1,1,1,1,0,0,0,1,0,14,3,-4,1,16,2,False,55
1,2,0,3,1,0,1,9,3,0,41,0,0,0,1,1,0,3,2,0,1,2,13,7,12,0,39,5,True,82
0,0,2,3,3,0,2,1,2,1,54,0,0,1,1,1,1,0,2,0,0,0,21,2,-5,4,25,3,False,66
1,1,1,2,1,0,0,4,0,0,51,0,0,0,1,1,1,3,0,0,1,3,17,0,3,0,23,0,False,60
0,0,0,3,2,0,0,4,1,1,52,0,0,0,1,1,2,0,0,0,0,0,17,0,-3,0,17,3,False,51
0,0,0,1,0,0,0,1,0,1,59,0,0,0,0,0,0,0,2,0,0,0,19,0,0,0,19,0,False,40
0,0,1,4,1,1,1,11,1,3,54,0,0,0,1,0,1,0,2,0,0,0,18,2,-2,1,21,2,False,58
0,1,0,2,0,1,2,12,3,0,32,0,0,1,0,1,0,2,0,0,0,0,10,11,7,1,36,7,True,77
2,0,1,1,1,1,1,0,1,0,29,0,0,1,0,0,0,0,1,0,0,5,9,6,-2,1,22,3,False,50
0,2,1,2,0,0,0,1,3,1,47,0,0,0,0,0,0,3,0,0,2,0,15,0,2,1,28,10,True,75
1,0,1,2,1,0,0,10,1,0,49,0,0,1,0,1,0,1,3,0,0,6,17,0,-5,0,21,3,False,53
2,2,0,3,0,0,1,12,2,0,29,0,0,1,0,1,0,5,2,0,0,11,9,2,11,0,33,0,True,87
2,1,2,4,1,2,0,10,0,0,60,0,0,0,1,4,0,1,0,0,0,10,24,0,-2,4,36,0,True,79
0,0,0,3,1,0,0,0,2,1,51,0,0,1,0,0,0,0,1,0,1,0,17,0,-3,0,22,8,False,58
0,3,0,1,1,0,0,9,1,1,39,0,0,0,0,0,1,5,0,0,1,0,13,0,17,0,30,0,True,62
0,0,0,1,3,0,0,8,1,1,56,0,0,1,1,0,1,0,0,0,0,0,18,0,-3,0,18,3,False,48
0,0,0,2,1,0,0,6,0,1,58,0,0,0,2,1,0,0,0,0,0,0,19,0,0,0,19,0,False,44
0,0,1,2,0,0,0,0,1,0,68,0,0,0,0,1,0,0,1,0,0,0,22,0,-3,0,22,3,False,49
1,1,0,2,2,1,0,2,1,0,28,0,0,1,1,2,0,3,0,0,2,8,9,0,3,1,24,3,False,69
0,0,0,1,1,1,0,4,3,0,44,0,0,0,1,0,1,0,0,0,1,0,14,0,-3,1,22,10,False,57
0,1,0,1,0,0,0,4,0,0,51,0,0,0,0,0,1,1,0,0,1,0,17,0,18,0,35,0,True,61
1,0,0,1,2,0,1,5,1,0,38,0,0,2,1,0,0,0,2,0,0,5,12,6,-3,0,23,3,False,56
1,1,3,3,0,0,0,12,3,1,51,0,0,1,0,0,0,1,2,0,0,3,20,0,18,0,48,7,True,97
0,1,0,2,0,1,0,2,2,1,34,0,0,0,0,0,0,1,2,0,1,0,11,0,12,1,27,3,False,61
2,0,1,2,2,0,1,13,2,1,38,0,0,1,1,0,1,0,0,0,1,7,13,2,-3,0,22,3,False,65
0,0,1,4,0,1,0,9,3,1,46,0,0,0,0,1,0,0,2,0,1,0,15,0,-3,1,18,5,False,54
1,1,1,2,0,0,0,4,0,1,48,0,0,0,0,1,1,1,0,0,0,3,16,0,2,0,21,0,False,50
1,0,2,0,1,1,0,4,2,0,59,0,0,0,1,0,1,0,0,0,0,6,19,0,-1,1,28,3,True,66
0,1,1,3,0,1,0,2,1,1,49,0,0,0,0,0,0,3,0,0,2,0,19,0,2,1,25,3,False,62
0,0,0,3,2,0,1,13,1,0,51,0,0,0,2,1,1,0,0,0,3,0,17,2,0,0,21,2,False,60
0,0,1,1,0,1,0,10,0,0,53,0,0,0,0,2,0,0,0,0,0,0,17,0,-4,1,14,0,False,36
2,2,0,4,2,1,0,12,3,1,37,0,0,1,1,0,1,6,1,0,0,9,12,0,7,1,36,7,True,86
2,1,2,2,0,1,0,3,2,0,43,0,0,0,0,1,0,3,1,0,2,10,14,0,13,1,41,3,True,88
0,1,0,3,1,0,0,6,1,1,50,0,0,1,1,1,0,1,0,0,0,0,16,0,2,0,21,3,False,54
0,0,1,2,0,0,0,2,3,0,37,0,0,0,0,0,0,0,0,0,1,0,13,0,-3,0,20,10,False,55
0,0,1,3,0,0,1,11,2,0,41,0,0,0,0,1,1,0,2,0,0,0,13,2,-3,0,17,5,False,51
0,0,1,3,1,0,1,9,2,1,60,0,0,0,1,1,0,0,0,0,3,0,23,3,-5,0,26,5,False,62
2,0,2,0,2,0,0,9,1,0,49,0,0,1,1,0,0,0,0,0,1,11,17,0,-1,0,27,0,False,69
2,0,0,2,2,2,0,9,1,0,36,0,0,1,1,1,0,0,0,0,1,12,12,0,-3,4,25,0,False,67
0,0,1,3,1,0,0,11,0,2,63,0,0,1,0,0,1,0,0,0,0,0,24,0,-4,0,20,0,False,51
2,2,0,2,0,1,1,5,3,0,17,0,0,1,0,0,0,3,0,0,1,14,5,6,13,1,49,10,True,98
0,1,1,1,2,2,0,10,1,0,30,0,0,1,0,1,1,2,0,0,0,0,10,0,10,2,25,3,False,59
2,2,1,1,1,2,1,9,1,0,28,0,0,1,0,0,0,4,0,0,2,8,9,4,16,2,39,0,True,81
0,0,2,4,0,3,0,4,0,1,36,0,0,0,0,2,1,0,0,0,1,0,16,0,-3,10,23,0,False,57
0,0,2,0,0,0,0,5,1,0,42,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,17,3,False,43
2,1,1,3,1,1,0,7,1,1,13,0,0,0,1,0,0,1,1,0,2,14,5,0,12,1,35,3,True,83
0,1,1,3,2,0,0,3,2,1,67,0,0,1,1,1,0,3,0,0,0,0,22,0,8,0,33,3,True,78
2,1,0,3,1,1,0,5,2,0,13,0,0,1,0,0,1,3,0,0,3,12,4,0,9,1,29,3,False,78
0,0,0,2,0,0,0,0,1,0,50,0,0,0,0,1,0,0,2,0,0,0,16,0,-3,0,16,3,False,39
1,1,0,2,1,0,1,0,2,1,17,0,0,0,1,0,0,3,1,0,1,3,5,4,10,0,30,8,False,64
1,0,2,0,1,0,1,6,1,0,33,0,0,0,2,0,0,0,0,0,0,4,11,6,-4,0,20,3,False,50
